transition_date,transition_hour,transport_type_id,road_type,line,transfer_type,number_of_passage,number_of_passenger,product_kind,transaction_type_desc,town,line_name,station_poi_desc_cd
2020-04-10,14,1,OTOYOL,USKUDAR-UNALAN MAHALLESI,Aktarma,1,1,INDIRIMLI1,Indirimli Aktarma,SANCAKTEPE,11Ü,
2020-04-01,21,2,RAYLI,YENIKAPI - HACIOSMAN,Aktarma,1,1,INDIRIMLI1,Tam Aktarma,SARIYER,M2,SEYRANTEPE 2 DOGU
2020-04-22,7,1,OTOYOL,HADIMKOY TOKI-BAYRAMPASA METRO,Normal,4,4,INDIRIMLI1,Indirimli Abonman,FATIH,336H,
2020-04-01,14,1,OTOYOL,ZUMRUTEVLER - HUZUREVI-MALTEPE,Aktarma,1,1,TAM,Tam Aktarma,ATASEHIR,KM43,
2020-04-05,8,2,RAYLI,KABATAS-BAGCILAR,Normal,1,1,TAM,TekliBilet Tarifeli,GUNGOREN,T1,GUNGOREN
2020-04-04,14,2,RAYLI,TOPKAPI-HABIBLER,Aktarma,5,5,TAM,Tam Aktarma,GAZIOSMANPASA,T4,SAGMALCILAR
2020-04-16,15,1,OTOYOL,ORTACESME-UMRANIYE,Normal,25,24,UCRETSIZ,Ucretsiz,BAKIRKOY,11H,
2020-04-27,8,1,OTOYOL,KIRAC-AVCILAR METROBUS,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,429A,
2020-04-29,16,1,OTOYOL,CEVIZLIBAG - SOGUTLUCESME ,Normal,17,16,TAM,Tam Kontur,USKUDAR,34A,ACIBADEM
2020-04-02,14,1,OTOYOL,KADIKOY-CAKMAK MAH-ATASEHIR,Normal,56,48,TAM,Tam Kontur,BAKIRKOY,13,
2020-04-13,21,1,OTOYOL,SULTANBEYLI-UMRANIYE,Normal,21,19,TAM,Tam Kontur,BAKIRKOY,131,
2020-04-25,6,1,OTOYOL,SARIYER - KABATAS,Normal,2,2,TAM,Tam Kontur,SARIYER,25E,
2020-04-04,18,3,DENİZ,Y.KADIKOY-EMINONU,Normal,18,17,TAM,Tam Kontur,KADIKOY,Y.KADIKOY-EMN,KADIKOY YENI
2020-04-13,20,1,OTOYOL,KARADENIZ MAH./ GUMUSSUYU,Normal,3,3,TAM,Tam Kontur,SARIYER,38KT,
2020-04-08,9,2,RAYLI,KIRAZLI-BASAKSEHIR/METROKENT,Aktarma,1,1,TAM,Tam Aktarma,BAGCILAR,M3,ISTOC
2020-04-20,17,1,OTOYOL,AKPINAR KOYU-ARNAVUTKOY PERONLAR,Aktarma,7,7,TAM,Tam Aktarma,SARIYER,48M,
2020-04-16,8,1,OTOYOL,USKUDAR-YAVUZTURK MAHALLESI,Normal,11,11,TAM,Tam Kontur,ATASEHIR,11Y,
2020-04-16,14,1,OTOYOL,ATESTUGLA - MECIDIYEKOY,Aktarma,1,1,TAM,Tam Aktarma,FATIH,92Ş,
2020-04-03,13,2,RAYLI,KADIKOY-KARTAL,Normal,3,3,TAM,Tam Abonman,USKUDAR,M4,GOZTEPE
2020-04-16,19,1,OTOYOL,AYAZAGAKOYU - KABATAS,Normal,32,32,TAM,Tam Kontur,BAKIRKOY,41E,
2020-04-01,10,1,OTOYOL,HACI OSMAN METRO -  RUMELI FENERI,Normal,1,1,UCRETSIZ,Ucretsiz,KAGITHANE,150,
2020-04-09,8,1,OTOYOL,YENIBOSNA (KUYUMCUKENT) - BAKIRKOY,Normal,3,3,INDIRIMLI1,Tam Kontur,BAKIRKOY,98B,
2020-04-27,11,1,OTOYOL,GUZELTEPE - EMINONU,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,47Ç,
2020-04-27,12,1,OTOYOL,ATESTUGLA - BAKIRKOY,Normal,68,55,TAM,Tam Kontur,BAKIRKOY,98D,
2020-04-01,20,1,OTOYOL,KADIKOY-PENDIK,Normal,1,1,INDIRIMLI1,Indirimli Abonman,ATASEHIR,16,
